745.1.1={holder=1019917182} #Huritt[1009990139]
795.07.23={holder=1019917183} #Sunukkuhkau[1009990139]
818.10.29={holder=1019917186} #Sunukkuhkau[1009990139]
841.07.07={holder=1019917190} #Samoset[1009990139]
852.05.14={holder=1019917196} #Hassun[1009990139]
907.04.01={holder=1019917199} #Nixkamich[1009990139]
924.08.27={holder=1019917203} #Abooksigun[1009990139]
934.07.29={holder=1019917207} #Etchemin[1009990139]
972.07.25={holder=1019917211} #Tihkoosue[1009990139]
994.09.03={holder=1019917217} #Ahanu[1009990139]
1018.11.18={holder=1019917220} #Askook[1009990139]
1037.07.06={holder=1019917226} #Chansomps[1009990139]
