744.1.1={holder=1019912065} #Qatqain[1009990088]
773.01.15={holder=1019912067} #Akrittok[1009990088]
813.09.06={holder=1019912071} #Nertornartok[1009990088]
821.06.20={holder=1019912074} #Kappianartok[1009990088]
846.06.08={holder=1019912082} #Uiritsaktak[1009990088]
881.05.02={holder=1019912084} #Deniigi[1009990088]
899.11.20={holder=1019912088} #Iluq[1009990088]
942.12.26={holder=1019912096} #Kappianartok[1009990088]
982.10.06={holder=1019912099} #Deniigi[1009990088]
985.05.02={holder=1019912107} #Ek[1009990088]
1020.01.16={holder=1019912111} #Siarut[1009990088]
1063.02.03={holder=1019912115} #Uvlugiaq[1009990088]
]
