744.1.1={holder=1019921441} #Nahumastabbe[1009990182]
791.08.03={holder=1019921443} #Tiupoye[1009990182]
817.06.26={holder=1019921447} #Tootehooma[1009990182]
856.10.26={holder=1019921451} #Tushtallay[1009990182]
867.11.20={holder=1019921453} #Tootehoma[1009990182]
925.05.13={holder=1019921458} #Shishemastubby[1009990182]
956.09.26={holder=1019921460} #Canelechabe[1009990182]
960.11.13={holder=1019921464} #Pushihumachito[1009990182]
979.04.18={holder=1019921468} #Steabee[1009990182]
1033.05.02={holder=1019921475} #Pushmataha[1009990182]
1073.05.29={holder=1019921478} #Tuskonahopoia[1009990182]
1075.09.28={holder=1019921481} #Tobocoh[1009990182]
