745.1.1={holder=1019911192} #Mequssuk[1009990079]
784.12.16={holder=1019911194} #Kirima[1009990079]
806.11.21={holder=1019911196} #Kaskae[1009990079]
837.06.17={holder=1019911201} #Qilaq[1009990079]
870.04.04={holder=1019911204} #Kanguyak[1009990079]
876.09.26={holder=1019911207} #Suluk[1009990079]
909.06.25={holder=1019911211} #Iqniq[1009990079]
933.02.03={holder=1019911218} #Nilak[1009990079]
969.10.15={holder=1019911224} #Tiquana[1009990079]
972.11.12={holder=1019911228} #Nerromiktok[1009990079]
986.04.03={holder=1019911233} #Uvlugiaq[1009990079]
1009.06.06={holder=1019911237} #Keyush[1009990079]
1041.05.07={holder=1019911241} #Qaniit[1009990079]
