744.1.1={holder=1019910097} #Kingudlerk[1009990068]
791.09.20={holder=1019910099} #Makoktok[1009990068]
817.12.09={holder=1019910105} #Pikatti[1009990068]
843.01.26={holder=1019910112} #Kinaktok[1009990068]
854.09.01={holder=1019910117} #Umiak[1009990068]
915.09.16={holder=1019910124} #Uyarak[1009990068]
927.12.04={holder=1019910126} #Tingenek[1009990068]
942.12.04={holder=1019910128} #Keelut[1009990068]
987.07.01={holder=1019910130} #Chulyin[1009990068]
1034.03.23={holder=1019910138} #Piaktok[1009990068]
1043.11.14={holder=1019910139} #Tomkin[1009990068]
]

