744.1.1={holder=1019927392} #Ilumani[1009990242]
797.12.15={holder=1019927394} #Kaigouchi[1009990242]
818.04.10={holder=1019927398} #Semén[1009990242]
862.10.19={holder=1019927401} #Pirijá[1009990242]
879.11.29={holder=1019927403} #Ebedimu[1009990242]
921.12.06={holder=1019927407} #Ebedimu[1009990242]
930.07.05={holder=1019927409} #Kaigouchi[1009990242]
982.06.08={holder=1019927414} #Áhari[1009990242]
987.05.24={holder=1019927418} #Ebedimu[1009990242]
1038.07.04={holder=1019927425} #Áhari[1009990242]
1061.10.05={holder=1019927429} #Gunfuli[1009990242]
