745.1.1={holder=1019929325} #Cusichaca[1009990261]
807.04.11={holder=1019929326} #Katari[1009990261]
834.08.28={holder=1019929329} #Guaritopa[1009990261]
838.02.04={holder=1019929334} #Ruminavi[1009990261]
878.01.25={holder=1019929339} #Orco[1009990261]
904.07.16={holder=1019929343} #Villac[1009990261]
914.06.11={holder=1019929347} #Pumi[1009990261]
961.07.12={holder=1019929351} #Colla[1009990261]
1000.04.25={holder=1019929356} #Sopa[1009990261]
1004.06.23={holder=1019929362} #Pomaguala[1009990261]
1040.12.15={holder=1019929364} #Orco[1009990261]
1041.06.01={holder=1019929370} #Huachuri[1009990261]
1050.05.31={holder=1019929376} #Yupanqui[1009990261]
]
