744.1.1={holder=1019917389} #Keme[1009990141]
781.02.09={holder=1019917390} #Machk[1009990141]
812.01.22={holder=1019917395} #Matchitehew[1009990141]
862.12.19={holder=1019917398} #Powaw[1009990141]
886.09.25={holder=1019917400} #Sucki[1009990141]
891.08.27={holder=1019917404} #Tihkoosue[1009990141]
931.05.07={holder=1019917407} #Matunaagd[1009990141]
947.08.05={holder=1019917411} #Matchitehew[1009990141]
995.05.25={holder=1019917416} #Achachak[1009990141]
1025.11.18={holder=1019917421} #Nixkamich[1009990141]
1050.01.02={holder=1019917426} #Anakausuen[1009990141]
1060.10.26={holder=1019917429} #Samoset[1009990141]
