745.1.1={holder=1019922309} #Pirijá[1009990191]
788.12.28={holder=1019922310} #Laliwa[1009990191]
825.05.29={holder=1019922315} #Toratora[1009990191]
845.03.07={holder=1019922318} #Haubariria[1009990191]
862.11.25={holder=1019922325} #Gunfuli[1009990191]
884.09.03={holder=1019922329} #Ilumani[1009990191]
924.02.08={holder=1019922334} #Kaigouchi[1009990191]
962.10.07={holder=1019922337} #Kaigouchi[1009990191]
985.09.30={holder=1019922340} #Mbicy[1009990191]
1003.01.29={holder=1019922342} #Gunfuli[1009990191]
1008.01.22={holder=1019922344} #Semén[1009990191]
1070.11.27={holder=1019922348} #Laliwa[1009990191]
1085.07.20={holder=1019922351} #Haubariria[1009990191]
1086.05.18={holder=1019922354} #Arah[1009990191]
