744.1.1={holder=1019922130} #Pirijá[1009990190]
798.01.23={holder=1019922131} #Toratora[1009990190]
799.07.26={holder=1019922132} #Mbicy[1009990190]
841.05.07={holder=1019922133} #Gunfuli[1009990190]
843.12.02={holder=1019922134} #Laliwa[1009990190]
902.12.06={holder=1019922135} #Gunfuli[1009990190]
933.05.08={holder=1019922136} #Haubariria[1009990190]
961.05.09={holder=1019922137} #Ebedimu[1009990190]
994.10.18={holder=1019922138} #Kaigouchi[1009990190]
1027.05.17={holder=1019922139} #Amorotahe[1009990190]
1044.08.18={holder=1019922140} #Ebedimu[1009990190]
1048.12.31={holder=1019922141} #Haubariria[1009990190]
1095.07.08={holder=1019922142} #Áhari[1009990190]
