745.1.1={holder=1019926564} #Italo[1009990234]
774.07.25={holder=1019926565} #Mbicy[1009990234]
794.07.23={holder=1019926571} #Arata[1009990234]
822.12.27={holder=1019926575} #Arah[1009990234]
891.02.09={holder=1019926576} #Ramalho[1009990234]
918.11.07={holder=1019926579} #Pirijá[1009990234]
952.09.02={holder=1019926581} #Toruí[1009990234]
974.05.24={holder=1019926589} #Arata[1009990234]
987.08.17={holder=1019926592} #Pirijá[1009990234]
999.01.27={holder=1019926595} #Mbicy[1009990234]
1038.09.03={holder=1019926603} #Tibiriçá[1009990234]
