744.1.1={holder=1019912874} #Napess[1009990096]
765.03.22={holder=1019912876} #Manitesh[1009990096]
819.05.07={holder=1019912879} #Apinam[1009990096]
836.09.20={holder=1019912881} #Kaniuekutat[1009990096]
844.03.14={holder=1019912884} #Utshimau[1009990096]
879.05.09={holder=1019912890} #Shapatish[1009990096]
914.08.20={holder=1019912896} #Minapakun[1009990096]
935.03.23={holder=1019912899} #Pitan[1009990096]
962.12.01={holder=1019912904} #Uniam[1009990096]
971.06.09={holder=1019912908} #Pekissiu[1009990096]
1008.01.12={holder=1019912913} #Tshimushuminu[1009990096]
1047.03.20={holder=1019912916} #Mishta-Napesh[1009990096]
1049.02.21={holder=1019912920} #Natupaniu[1009990096]
]
