744.1.1={holder=1019929011} #Taraque[1009990258]
795.09.03={holder=1019929012} #Pomaguala[1009990258]
797.09.27={holder=1019929019} #Túpac[1009990258]
843.06.11={holder=1019929023} #Ruminavi[1009990258]
871.07.19={holder=1019929027} #Usca[1009990258]
891.02.16={holder=1019929031} #Usca[1009990258]
927.12.06={holder=1019929038} #Huayna[1009990258]
937.04.09={holder=1019929040} #Coyllas[1009990258]
995.09.24={holder=1019929048} #Cápac[1009990258]
1010.09.17={holder=1019929050} #Roca[1009990258]
1056.08.24={holder=1019929054} #Túpac[1009990258]
