745.1.1={holder=1019914476} #Huritt[1009990112]
785.08.19={holder=1019914478} #Anakausuen[1009990112]
798.03.27={holder=1019914479} #Matwau[1009990112]
821.04.29={holder=1019914486} #Tihkoosue[1009990112]
848.12.08={holder=1019914490} #Sucki[1009990112]
863.02.18={holder=1019914493} #Abukcheech[1009990112]
927.05.25={holder=1019914497} #Chogan[1009990112]
939.04.25={holder=1019914503} #Segenam[1009990112]
949.11.10={holder=1019914506} #Keme[1009990112]
995.11.17={holder=1019914511} #Enkoodabaoo[1009990112]
996.02.01={holder=1019914515} #Anakausuen[1009990112]
1024.05.08={holder=1019914518} #Mekledoodum[1009990112]
