744.1.1={holder=1019919554} #Ixtlilxochitl[1009990163]
775.12.13={holder=1019919555} #Nezahualpilli[1009990163]
820.04.21={holder=1019919557} #Miztli[1009990163]
824.06.13={holder=1019919564} #Coanacoch[1009990163]
850.09.15={holder=1019919568} #Tlaloc[1009990163]
863.08.15={holder=1019919572} #Nochehuatl[1009990163]
899.11.03={holder=1019919579} #Coatl[1009990163]
925.08.28={holder=1019919586} #Cuauhtl[1009990163]
931.03.08={holder=1019919590} #Yaotl[1009990163]
965.11.16={holder=1019919594} #Aculnahuacatl[1009990163]
977.10.10={holder=1019919598} #Xipilli[1009990163]
1031.07.01={holder=1019919602} #Cacamatzin[1009990163]
1066.01.08={holder=1019919606} #Ocuil[1009990163]
