744.1.1={holder=1019924397} #Caracara[1009990212]
806.09.20={holder=1019924398} #Jandui[1009990212]
829.03.15={holder=1019924404} #Raoni[1009990212]
843.04.21={holder=1019924408} #Karupoto[1009990212]
869.02.05={holder=1019924411} #Raoni[1009990212]
916.05.09={holder=1019924415} #Jandui[1009990212]
933.02.12={holder=1019924418} #Janduwy[1009990212]
943.03.24={holder=1019924423} #Raoni[1009990212]
986.11.08={holder=1019924425} #Kerioukeiou[1009990212]
1009.02.21={holder=1019924433} #Karupoto[1009990212]
1044.03.12={holder=1019924437} #Karupoto[1009990212]
1061.03.09={holder=1019924444} #Karupoto[1009990212]
]
