744.1.1={holder=1019928193} #Gunfuli[1009990250]
765.03.16={holder=1019928194} #Arata[1009990250]
813.01.19={holder=1019928200} #Ebedimu[1009990250]
846.04.03={holder=1019928204} #Amorotahe[1009990250]
901.09.05={holder=1019928207} #Áhari[1009990250]
915.08.23={holder=1019928212} #Arata[1009990250]
921.04.02={holder=1019928216} #Semén[1009990250]
967.09.22={holder=1019928221} #Haubariria[1009990250]
989.04.25={holder=1019928226} #Shoko[1009990250]
1007.07.18={holder=1019928228} #Toratora[1009990250]
1044.09.23={holder=1019928231} #Toratora[1009990250]
