744.1.1={holder=1019928103} #Kuarahyrese[1009990249]
813.04.27={holder=1019928104} #Aratiri[1009990249]
824.01.17={holder=1019928109} #Karai[1009990249]
829.05.13={holder=1019928113} #Apytere[1009990249]
869.11.06={holder=1019928115} #Aravera[1009990249]
909.10.15={holder=1019928117} #Jakaira[1009990249]
932.06.21={holder=1019928120} #Amaru[1009990249]
971.04.16={holder=1019928124} #Tatajyva[1009990249]
998.06.10={holder=1019928129} #Tuvicha[1009990249]
1033.03.06={holder=1019928132} #Arandu[1009990249]
1053.03.04={holder=1019928137} #Karai[1009990249]
1061.01.16={holder=1019928142} #Tekokatu[1009990249]
