745.1.1={holder=1019922032} #Ebedimu[1009990188]
795.04.24={holder=1019922034} #Wiwakaleme[1009990188]
823.05.21={holder=1019922037} #Pirijá[1009990188]
857.06.14={holder=1019922041} #Haubariria[1009990188]
880.10.12={holder=1019922047} #Kaigouchi[1009990188]
930.12.06={holder=1019922051} #Semén[1009990188]
932.03.09={holder=1019922053} #Kaigouchi[1009990188]
973.08.14={holder=1019922057} #Laliwa[1009990188]
994.12.13={holder=1019922060} #Kaigouchi[1009990188]
1034.08.13={holder=1019922066} #Gunfuli[1009990188]
1060.07.31={holder=1019922068} #Haubariria[1009990188]
1096.02.21={holder=1019922069} #Arah[1009990188]
