744.1.1={holder=1019923794} #Cusichaca[1009990206]
774.07.18={holder=1019923795} #Zambiza[1009990206]
829.07.22={holder=1019923799} #Sahuaraura[1009990206]
850.11.26={holder=1019923802} #Titu[1009990206]
859.03.20={holder=1019923806} #Sahuaraura[1009990206]
878.02.06={holder=1019923811} #Curiatao[1009990206]
917.01.31={holder=1019923815} #Curiatao[1009990206]
937.12.19={holder=1019923819} #Zambiza[1009990206]
971.06.06={holder=1019923824} #Taraque[1009990206]
990.08.05={holder=1019923829} #Coyllas[1009990206]
1016.11.28={holder=1019923831} #Yamqui[1009990206]
1063.10.17={holder=1019923836} #Huachuri[1009990206]
