744.1.1={holder=1019916498} #Horonu[1009990132]
792.01.04={holder=1019916499} #Terhataw[1009990132]
806.02.20={holder=1019916504} #Skahomat[1009990132]
819.09.07={holder=1019916507} #Tuayaurontoyou[1009990132]
853.08.25={holder=1019916510} #Datasay[1009990132]
876.07.16={holder=1019916512} #Dauatout[1009990132]
908.10.20={holder=1019916519} #Teoudetosso[1009990132]
957.10.21={holder=1019916521} #Shaawrunthe[1009990132]
962.12.31={holder=1019916523} #Doueyenteat[1009990132]
1004.10.21={holder=1019916528} #Ahatsistari[1009990132]
1020.11.11={holder=1019916530} #Teyyaghtwa[1009990132]
]
