745.1.1={holder=1019910779} #Inungoark[1009990075]
769.07.19={holder=1019910780} #Ulva[1009990075]
803.12.05={holder=1019910787} #Hiin[1009990075]
844.04.06={holder=1019910791} #Uvlugiaq[1009990075]
852.10.04={holder=1019910795} #Biisaiyowaq[1009990075]
863.06.23={holder=1019910797} #Qimukti[1009990075]
912.02.08={holder=1019910804} #Karpok[1009990075]
932.04.23={holder=1019910805} #Arrluk[1009990075]
961.01.16={holder=1019910810} #Chugach[1009990075]
980.11.17={holder=1019910814} #Koko[1009990075]
1023.08.24={holder=1019910817} #Sos[1009990075]
1053.07.04={holder=1019910820} #Miki[1009990075]
1055.01.24={holder=1019910826} #Sos[1009990075]
]
