745.1.1={holder=1019922407} #Kaigouchi[1009990192]
798.01.07={holder=1019922408} #Laliwa[1009990192]
825.03.01={holder=1019922412} #Haubariria[1009990192]
851.06.01={holder=1019922416} #Ilumani[1009990192]
873.08.15={holder=1019922418} #Haubariria[1009990192]
908.09.03={holder=1019922422} #Arah[1009990192]
915.12.15={holder=1019922428} #Pirijá[1009990192]
954.09.09={holder=1019922435} #Áhari[1009990192]
971.12.27={holder=1019922440} #Mbicy[1009990192]
1014.02.28={holder=1019922445} #Áhari[1009990192]
1014.09.15={holder=1019922451} #Haubariria[1009990192]
1064.04.16={holder=1019922454} #Áhari[1009990192]
]
