744.1.1={holder=1019911399} #Irdlirvirisissong[1009990081]
781.12.10={holder=1019911400} #Pukulria[1009990081]
790.03.03={holder=1019911405} #Aukaneck[1009990081]
831.07.04={holder=1019911410} #Tikaani[1009990081]
863.05.15={holder=1019911411} #Nannuraluk[1009990081]
866.04.19={holder=1019911414} #Mequssuk[1009990081]
897.11.28={holder=1019911420} #Iglopuk[1009990081]
919.03.07={holder=1019911422} #Deniigi[1009990081]
958.02.04={holder=1019911424} #Nerromiktok[1009990081]
953.12.25={holder=1019911428} #Anuniaq[1009990081]
994.08.23={holder=1019911432} #Sinaaq[1009990081]
1019.12.04={holder=1019911439} #Asiavik[1009990081]
1053.08.17={holder=1019911444} #Alornerk[1009990081]
]
