744.1.1={holder=1019910886} #Iyaroak[1009990076]
776.03.25={holder=1019910889} #Akkikiktok[1009990076]
793.12.31={holder=1019910894} #Sirmiq[1009990076]
833.08.05={holder=1019910895} #Kakortok[1009990076]
871.03.01={holder=1019910901} #Mequssuk[1009990076]
877.08.06={holder=1019910908} #Aningan[1009990076]
908.04.19={holder=1019910912} #Kunikpok[1009990076]
941.09.08={holder=1019910917} #Anernerk[1009990076]
986.10.06={holder=1019910922} #Kassuq[1009990076]
1004.01.03={holder=1019910925} #Akrittok[1009990076]
1056.01.17={holder=1019910932} #Kattituyok[1009990076]
