744.1.1={holder=1019929734} #Orco[1009990265]
798.06.03={holder=1019929738} #Ruminavi[1009990265]
830.07.06={holder=1019929739} #Pascac[1009990265]
857.06.26={holder=1019929744} #Tunupa[1009990265]
888.12.01={holder=1019929747} #Coyllas[1009990265]
899.05.02={holder=1019929750} #Katari[1009990265]
950.06.17={holder=1019929753} #Sopa[1009990265]
955.03.07={holder=1019929758} #Cayo[1009990265]
961.11.08={holder=1019929763} #Cayo[1009990265]
1015.12.15={holder=1019929767} #Surandaman[1009990265]
1022.04.18={holder=1019929772} #Titu[1009990265]
1052.06.07={holder=1019929773} #Umu[1009990265]
