744.1.1={holder=1019911877} #Naga[1009990086]
790.09.08={holder=1019911878} #Nilak[1009990086]
797.08.16={holder=1019911882} #Nini[1009990086]
835.03.31={holder=1019911885} #Aput[1009990086]
862.06.04={holder=1019911887} #Biisaiyowaq[1009990086]
864.03.20={holder=1019911889} #Shesh[1009990086]
897.04.16={holder=1019911893} #Tupilek[1009990086]
935.06.23={holder=1019911895} #Piktaungitok[1009990086]
958.06.29={holder=1019911898} #Iglopuk[1009990086]
978.10.01={holder=1019911905} #Akkilokipok[1009990086]
999.11.17={holder=1019911912} #Salaksartok[1009990086]
1032.02.08={holder=1019911915} #Immuyak[1009990086]
1033.10.27={holder=1019911922} #Mauja[1009990086]
