744.1.1={holder=1019930517} #Zambiza[1009990273]
774.04.13={holder=1019930518} #Anquimarca[1009990273]
820.12.22={holder=1019930519} #Ninan[1009990273]
862.12.22={holder=1019930520} #Orco[1009990273]
885.05.06={holder=1019930521} #Marcavilca[1009990273]
895.06.27={holder=1019930522} #Guaritopa[1009990273]
927.08.23={holder=1019930523} #Huachuri[1009990273]
977.01.26={holder=1019930524} #Anquimarca[1009990273]
994.03.31={holder=1019930525} #Sopa[1009990273]
1027.10.09={holder=1019930526} #Yamqui[1009990273]
1060.04.03={holder=1019930527} #Pumi[1009990273]
]
