745.1.1={holder=1019911493} #Asungaq[1009990082]
768.12.29={holder=1019911494} #Tiilaqiia[1009990082]
789.10.15={holder=1019911499} #Iluq[1009990082]
823.03.17={holder=1019911504} #Sinaaq[1009990082]
840.06.30={holder=1019911508} #Ikniqpalagaq[1009990082]
863.04.23={holder=1019911512} #Unalaq[1009990082]
904.01.07={holder=1019911516} #Siku[1009990082]
929.07.09={holder=1019911520} #Issumatar[1009990082]
968.10.22={holder=1019911522} #Pamiiruq[1009990082]
987.02.13={holder=1019911527} #Akluitok[1009990082]
1011.02.03={holder=1019911533} #Tekkeitsertok[1009990082]
1022.09.11={holder=1019911537} #Qatqain[1009990082]
]
