744.1.1={holder=1019928593} #Ninan[1009990254]
806.04.20={holder=1019928594} #Ruminavi[1009990254]
806.07.08={holder=1019928603} #Orco[1009990254]
867.10.14={holder=1019928608} #Zambiza[1009990254]
891.12.12={holder=1019928609} #Usca[1009990254]
921.05.30={holder=1019928617} #Yupanqui[1009990254]
931.12.01={holder=1019928619} #Pascac[1009990254]
965.04.19={holder=1019928623} #Sopa[1009990254]
1004.06.27={holder=1019928628} #Huachuri[1009990254]
1006.10.28={holder=1019928632} #Huaypalcon[1009990254]
1051.01.17={holder=1019928636} #Sopa[1009990254]
