744.1.1={holder=1019916376} #Quouqua[1009990131]
805.08.01={holder=1019916378} #Tuayaurontoyou[1009990131]
820.05.30={holder=1019916384} #Cheyawe[1009990131]
861.03.15={holder=1019916389} #Cheyawe[1009990131]
875.03.20={holder=1019916393} #Thateyyanayoh[1009990131]
907.07.08={holder=1019916401} #Teyyaghtwa[1009990131]
915.06.16={holder=1019916404} #Tschauendah[1009990131]
938.12.22={holder=1019916413} #Stayetah[1009990131]
964.01.28={holder=1019916414} #Skahomat[1009990131]
1016.04.16={holder=1019916417} #Stayetah[1009990131]
1049.08.15={holder=1019916421} #Datasay[1009990131]
1062.05.21={holder=1019916428} #Shaawrunthe[1009990131]
