745.1.1={holder=1019923691} #Coyllas[1009990205]
785.04.17={holder=1019923692} #Yamqui[1009990205]
808.11.05={holder=1019923695} #Sopa[1009990205]
845.01.07={holder=1019923702} #Ruminavi[1009990205]
860.06.23={holder=1019923706} #Yamqui[1009990205]
895.07.18={holder=1019923713} #Ninan[1009990205]
896.05.19={holder=1019923717} #Mayta[1009990205]
930.09.16={holder=1019923721} #Curiatao[1009990205]
964.12.07={holder=1019923727} #Marcavilca[1009990205]
991.08.11={holder=1019923730} #Guaritopa[1009990205]
1021.03.25={holder=1019923736} #Anquimarca[1009990205]
1060.08.06={holder=1019923739} #Varanca[1009990205]
1071.08.30={holder=1019923744} #Quispe[1009990205]
