744.1.1={holder=1019922600} #Kaigouchi[1009990194]
765.11.17={holder=1019922601} #Semén[1009990194]
795.03.08={holder=1019922605} #Laliwa[1009990194]
817.07.13={holder=1019922609} #Ebedimu[1009990194]
856.10.17={holder=1019922612} #Toratora[1009990194]
890.01.19={holder=1019922614} #Toratora[1009990194]
930.03.12={holder=1019922618} #Ilumani[1009990194]
943.07.18={holder=1019922623} #Pirijá[1009990194]
978.11.23={holder=1019922627} #Gunfuli[1009990194]
982.02.09={holder=1019922634} #Toruí[1009990194]
1028.07.12={holder=1019922637} #Haubariria[1009990194]
1040.09.23={holder=1019922642} #Amorotahe[1009990194]
1058.01.26={holder=1019922644} #Haubariria[1009990194]
]
