744.1.1={holder=1019927705} #Pirijá[1009990245]
783.03.24={holder=1019927706} #Áhari[1009990245]
819.04.30={holder=1019927713} #Semén[1009990245]
853.01.18={holder=1019927720} #Kaigouchi[1009990245]
864.02.20={holder=1019927722} #Gunfuli[1009990245]
879.12.04={holder=1019927727} #Ilumani[1009990245]
903.08.26={holder=1019927732} #Gunfuli[1009990245]
948.07.16={holder=1019927740} #Ebedimu[1009990245]
979.08.31={holder=1019927745} #Gunfuli[1009990245]
1023.07.03={holder=1019927746} #Kaigouchi[1009990245]
1042.06.18={holder=1019927750} #Kaigouchi[1009990245]
1049.10.05={holder=1019927752} #Áhari[1009990245]
]
