744.1.1={holder=1019925113} #Caracara[1009990219]
789.05.29={holder=1019925114} #Janduwy[1009990219]
821.02.03={holder=1019925121} #Jandui[1009990219]
830.01.31={holder=1019925126} #Jandui[1009990219]
874.10.06={holder=1019925129} #Janduwy[1009990219]
892.12.10={holder=1019925134} #Janduwy[1009990219]
893.03.08={holder=1019925137} #Karupoto[1009990219]
956.10.05={holder=1019925144} #Raoni[1009990219]
969.12.04={holder=1019925149} #Karupoto[1009990219]
1006.09.04={holder=1019925152} #Jandui[1009990219]
1015.11.10={holder=1019925154} #Kerioukeiou[1009990219]
1043.03.11={holder=1019925159} #Jandui[1009990219]
]
