744.1.1={holder=1019918299} #Hatke[1009990150]
794.02.08={holder=1019918301} #Taskanugi[1009990150]
809.03.09={holder=1019918303} #Hopothemico[1009990150]
857.10.14={holder=1019918305} #Fife[1009990150]
871.05.10={holder=1019918315} #Opaymico[1009990150]
902.06.17={holder=1019918317} #Stimafutchkee[1009990150]
953.05.12={holder=1019918321} #Totkeshajou[1009990150]
953.08.31={holder=1019918325} #Fuskatchemico[1009990150]
993.05.15={holder=1019918332} #Ocheehajou[1009990150]
1003.02.24={holder=1019918335} #Stilnaleeje[1009990150]
1054.09.06={holder=1019918338} #Neathlock[1009990150]
1064.09.21={holder=1019918343} #Tuskenaah[1009990150]
