745.1.1={holder=1019916590} #Sequidonguquee[1009990133]
793.02.15={holder=1019916591} #Soggooyawauthau[1009990133]
805.11.07={holder=1019916597} #Hotoshahen[1009990133]
834.05.22={holder=1019916603} #Kiatulaho[1009990133]
895.07.18={holder=1019916605} #Otachsaka[1009990133]
907.01.19={holder=1019916608} #Thayendanega[1009990133]
910.10.21={holder=1019916611} #Twaukewasha[1009990133]
971.05.18={holder=1019916617} #Tekahias[1009990133]
1014.09.30={holder=1019916618} #Nondiyauka[1009990133]
1020.02.09={holder=1019916621} #Kodjeote[1009990133]
1043.05.27={holder=1019916624} #Ononyeahnee[1009990133]
1064.01.02={holder=1019916626} #Gyasota[1009990133]
