744.1.1={holder=1019929120} #Ninan[1009990259]
801.01.28={holder=1019929121} #Curiatao[1009990259]
820.04.03={holder=1019929124} #Topa[1009990259]
857.06.19={holder=1019929126} #Túpac[1009990259]
870.07.19={holder=1019929130} #Cayo[1009990259]
896.12.10={holder=1019929133} #Sopa[1009990259]
928.08.08={holder=1019929140} #Luyes[1009990259]
932.12.05={holder=1019929145} #Cuyuchi[1009990259]
1002.12.05={holder=1019929149} #Orco[1009990259]
1009.07.25={holder=1019929156} #Yupanqui[1009990259]
1045.04.13={holder=1019929163} #Inca[1009990259]
1046.10.01={holder=1019929172} #Pachacútec[1009990259]
