745.1.1={holder=1019921624} #Iyahhoutubbe[1009990184]
785.05.04={holder=1019921625} #Inkahyea[1009990184]
839.09.10={holder=1019921626} #Nuckshopubbe[1009990184]
852.08.27={holder=1019921627} #Chewutaha[1009990184]
894.06.10={holder=1019921628} #Ashalatubbi[1009990184]
921.05.29={holder=1019921629} #Okelahshapia[1009990184]
945.11.28={holder=1019921630} #Inkahyea[1009990184]
959.08.07={holder=1019921631} #Tahhacubbe[1009990184]
981.01.27={holder=1019921632} #Yummotubbe[1009990184]
996.11.05={holder=1019921633} #Ahfahmah[1009990184]
1047.01.03={holder=1019921634} #Inkahyea[1009990184]
1062.07.31={holder=1019921635} #Okelahshapia[1009990184]
