745.1.1={holder=1019917914} #Auroghteregh[1009990146]
764.08.20={holder=1019917915} #Uwhanhierelera[1009990146]
825.01.30={holder=1019917916} #Wastahanda[1009990146]
839.03.06={holder=1019917917} #Sawahegeh[1009990146]
858.01.11={holder=1019917918} #Kagoregago[1009990146]
896.03.24={holder=1019917919} #Rutchogah[1009990146]
917.01.15={holder=1019917920} #Uwhanhierelera[1009990146]
948.08.15={holder=1019917921} #Kagoregago[1009990146]
990.11.11={holder=1019917922} #Uwhanhierelera[1009990146]
1010.10.21={holder=1019917923} #Hago[1009990146]
1030.12.26={holder=1019917924} #Dahadaghesa[1009990146]
1090.07.29={holder=1019917925} #Uwhanhierelera[1009990146]
1100.12.02={holder=1019917926} #Saraqundett[1009990146]
