744.1.1={holder=1019916678} #Toheonggo[1009990134]
783.11.12={holder=1019916679} #Onogwendahonji[1009990134]
812.07.23={holder=1019916681} #Kendarindgon[1009990134]
838.07.03={holder=1019916685} #Oncahye[1009990134]
877.12.01={holder=1019916690} #Twaukewasha[1009990134]
909.07.12={holder=1019916691} #Owenewa[1009990134]
923.03.05={holder=1019916696} #Neeshonshuk[1009990134]
955.01.30={holder=1019916699} #Soaheas[1009990134]
996.09.28={holder=1019916706} #Tekahias[1009990134]
999.07.06={holder=1019916713} #Dagaheari[1009990134]
1031.01.19={holder=1019916718} #Tekahias[1009990134]
]
