744.1.1={holder=1019912479} #Katshinukapaut[1009990092]
789.11.27={holder=1019912480} #Atiku[1009990092]
807.10.28={holder=1019912484} #Mitshishu[1009990092]
817.06.18={holder=1019912488} #Shushep[1009990092]
866.12.19={holder=1019912490} #Utanukueu[1009990092]
875.04.19={holder=1019912499} #Kanishutakashtasht[1009990092]
919.05.15={holder=1019912502} #Uatshitshish[1009990092]
920.01.09={holder=1019912508} #Akuaukusht[1009990092]
953.07.21={holder=1019912513} #Tshim[1009990092]
987.04.28={holder=1019912518} #Tshishennish[1009990092]
1021.08.18={holder=1019912521} #Uitshikapeu[1009990092]
1034.04.22={holder=1019912525} #Tshishennish[1009990092]
]
