745.1.1={holder=1019912784} #Utanukueu[1009990095]
782.02.11={holder=1019912785} #Tumassat[1009990095]
791.06.07={holder=1019912789} #Ashtunishish[1009990095]
826.04.22={holder=1019912794} #Aissimess[1009990095]
841.07.19={holder=1019912799} #Napess[1009990095]
868.01.09={holder=1019912802} #Shuashem[1009990095]
898.01.17={holder=1019912810} #Kautatikumit[1009990095]
963.11.01={holder=1019912814} #Natupaniu[1009990095]
968.06.23={holder=1019912817} #Uitshitshimushish[1009990095]
982.03.26={holder=1019912819} #Kapinien[1009990095]
1031.03.05={holder=1019912826} #Kashupasset[1009990095]
1037.03.21={holder=1019912828} #Mishtauiapeu[1009990095]
