744.1.1={holder=1019912987} #Nutamikuesh[1009990101]
764.07.22={holder=1019912988} #Mishen[1009990101]
812.12.22={holder=1019912989} #Akuaukusht[1009990101]
838.11.13={holder=1019912990} #Shinipesht[1009990101]
857.03.23={holder=1019912991} #Unikush[1009990101]
881.12.15={holder=1019912992} #Ussinitshishu[1009990101]
901.08.06={holder=1019912993} #Tshimushuminu[1009990101]
917.02.20={holder=1019912994} #Uniam[1009990101]
967.03.01={holder=1019912995} #Ussinitshishu[1009990101]
968.12.06={holder=1019912996} #Tumassat[1009990101]
990.11.03={holder=1019912997} #Mishta-Napesh[1009990101]
1010.01.05={holder=1019912998} #Mishta-Etuat[1009990101]
1050.08.09={holder=1019912999} #Shuashem[1009990101]
]
