744.1.1={holder=1019925008} #Janduwy[1009990218]
773.02.22={holder=1019925009} #Karupoto[1009990218]
823.08.16={holder=1019925013} #Jandui[1009990218]
826.11.15={holder=1019925020} #Raoni[1009990218]
872.05.09={holder=1019925027} #Karupoto[1009990218]
889.01.24={holder=1019925028} #Kerioukeiou[1009990218]
920.08.21={holder=1019925035} #Caracara[1009990218]
957.05.31={holder=1019925040} #Karupoto[1009990218]
963.09.27={holder=1019925044} #Raoni[1009990218]
1022.07.06={holder=1019925047} #Caracara[1009990218]
1045.06.14={holder=1019925052} #Jandui[1009990218]
