744.1.1={holder=1019929430} #Umu[1009990262]
819.05.28={holder=1019929432} #Katari[1009990262]
821.08.01={holder=1019929435} #Pumi[1009990262]
826.02.23={holder=1019929439} #Villac[1009990262]
893.01.14={holder=1019929441} #Sopa[1009990262]
918.11.10={holder=1019929446} #Quispe[1009990262]
951.04.19={holder=1019929449} #Pascac[1009990262]
981.02.04={holder=1019929453} #Cari[1009990262]
1028.03.08={holder=1019929458} #Tucuycuyche[1009990262]
1029.04.23={holder=1019929460} #Atoc[1009990262]
1035.06.07={holder=1019929462} #Varanca[1009990262]
