745.1.1={holder=1019929633} #Coyllas[1009990264]
807.02.23={holder=1019929636} #Illapa[1009990264]
844.01.16={holder=1019929637} #Katari[1009990264]
850.06.16={holder=1019929640} #Umu[1009990264]
868.08.04={holder=1019929645} #Marcavilca[1009990264]
911.02.27={holder=1019929647} #Pomaguala[1009990264]
920.05.13={holder=1019929652} #Yupanqui[1009990264]
965.04.08={holder=1019929655} #Umu[1009990264]
992.09.16={holder=1019929658} #Cusichaca[1009990264]
1015.07.27={holder=1019929662} #Curiatao[1009990264]
1040.12.30={holder=1019929665} #Capac[1009990264]
