744.1.1={holder=1019910679} #Tuwawi[1009990074]
777.05.06={holder=1019910680} #Tornuaq[1009990074]
809.02.11={holder=1019910685} #Nutaralak[1009990074]
842.06.17={holder=1019910688} #Noatak[1009990074]
857.03.07={holder=1019910692} #Atkonartok[1009990074]
897.05.16={holder=1019910696} #Piktaungitok[1009990074]
900.04.12={holder=1019910700} #Sitiyok[1009990074]
947.11.27={holder=1019910704} #Akkilokipok[1009990074]
946.05.23={holder=1019910714} #Anana[1009990074]
976.12.22={holder=1019910715} #Tulukaruk[1009990074]
1017.01.23={holder=1019910717} #Kinguyakkii[1009990074]
1052.10.18={holder=1019910723} #Sitiyok[1009990074]
1044.10.09={holder=1019910728} #Sedna[1009990074]
]
