745.1.1={holder=1019910586} #Miki[1009990073]
773.07.21={holder=1019910587} #Nilak[1009990073]
797.07.31={holder=1019910590} #Chulyin[1009990073]
835.09.19={holder=1019910592} #Illiivat[1009990073]
868.05.11={holder=1019910594} #Nerromiktok[1009990073]
873.11.03={holder=1019910598} #Issorartuyok[1009990073]
921.06.22={holder=1019910602} #Sesi[1009990073]
930.01.14={holder=1019910603} #Anernerk[1009990073]
944.04.11={holder=1019910607} #Piaktok[1009990073]
989.11.11={holder=1019910612} #Tingenek[1009990073]
1014.03.06={holder=1019910616} #Tunerk[1009990073]
1029.04.13={holder=1019910619} #Iluliaq[1009990073]
