745.1.1={holder=1019910295} #Aituserk[1009990070]
765.01.12={holder=1019910296} #Tartok[1009990070]
810.04.01={holder=1019910300} #Eska[1009990070]
817.12.09={holder=1019910303} #Kilaun[1009990070]
839.02.12={holder=1019910307} #Putyuk[1009990070]
855.06.21={holder=1019910311} #Ek[1009990070]
899.04.22={holder=1019910318} #Qigiq[1009990070]
920.04.24={holder=1019910325} #Ipiktok[1009990070]
945.11.05={holder=1019910328} #Kinaktok[1009990070]
985.05.07={holder=1019910330} #Sakari[1009990070]
997.08.22={holder=1019910336} #Unalaq[1009990070]
1031.03.26={holder=1019910338} #Nagojut[1009990070]
1043.02.22={holder=1019910345} #Qigiq[1009990070]
1061.04.10={holder=1019910350} #Massalerauvok[1009990070]
