744.1.1={holder=1019929219} #Cuyuchi[1009990260]
774.08.22={holder=1019929220} #Cápac[1009990260]
831.06.26={holder=1019929223} #Pomaguala[1009990260]
846.12.20={holder=1019929225} #Marcavilca[1009990260]
867.11.09={holder=1019929229} #Guaritopa[1009990260]
917.08.29={holder=1019929236} #Zopahua[1009990260]
918.09.02={holder=1019929241} #Yamqui[1009990260]
946.08.22={holder=1019929244} #Túpac[1009990260]
970.10.05={holder=1019929247} #Curiatao[1009990260]
1024.11.03={holder=1019929254} #Sayri[1009990260]
1028.03.23={holder=1019929261} #Atahualpa[1009990260]
]
