744.1.1={holder=1019927906} #Karai[1009990247]
785.05.16={holder=1019927907} #Tatapytu[1009990247]
851.03.22={holder=1019927911} #Katupyry[1009990247]
864.09.14={holder=1019927915} #Aravera[1009990247]
864.11.24={holder=1019927917} #Aravera[1009990247]
892.04.24={holder=1019927921} #Tuvicha[1009990247]
927.01.31={holder=1019927927} #Tatajyva[1009990247]
933.12.26={holder=1019927932} #Tekokatu[1009990247]
998.11.08={holder=1019927935} #Mba'ehory[1009990247]
1026.04.15={holder=1019927940} #Maitei[1009990247]
1027.12.03={holder=1019927943} #Amangy[1009990247]
