744.1.1={holder=1019910196} #Kanguyak[1009990069]
763.07.16={holder=1019910197} #Makpigat[1009990069]
817.03.04={holder=1019910200} #Nauja[1009990069]
819.04.01={holder=1019910209} #Kakortok[1009990069]
865.01.05={holder=1019910210} #Tanaraq[1009990069]
865.06.04={holder=1019910216} #Arjalinerk[1009990069]
915.01.28={holder=1019910217} #Koko[1009990069]
935.03.14={holder=1019910220} #Imnek[1009990069]
967.01.30={holder=1019910224} #Tingenek[1009990069]
987.10.20={holder=1019910229} #Uukkarnit[1009990069]
1026.04.17={holder=1019910232} #Anuun[1009990069]
1042.07.03={holder=1019910234} #Irdlirvirisissong[1009990069]

