745.1.1={holder=1019912383} #Shuashem[1009990091]
771.10.31={holder=1019912384} #Kaminaushit[1009990091]
791.11.29={holder=1019912388} #Nutamikuesh[1009990091]
831.05.13={holder=1019912393} #Natupaniu[1009990091]
842.10.02={holder=1019912396} #Maikan[1009990091]
886.02.20={holder=1019912400} #Tshishpush[1009990091]
893.05.15={holder=1019912403} #Tshishpush[1009990091]
922.09.02={holder=1019912407} #Pitan[1009990091]
955.07.25={holder=1019912413} #Kautatikumit[1009990091]
972.06.01={holder=1019912417} #Pien[1009990091]
997.09.23={holder=1019912422} #Apinam[1009990091]
1047.09.08={holder=1019912426} #Matiu[1009990091]
1066.04.04={holder=1019912429} #Kapinien[1009990091]
