745.1.1={holder=1019916879} #Fonegawne[1009990136]
805.12.18={holder=1019916880} #Paymusawtom[1009990136]
826.10.08={holder=1019916884} #Mayto[1009990136]
827.05.04={holder=1019916888} #Pashkobwis[1009990136]
848.04.07={holder=1019916893} #Kogkakeshik[1009990136]
879.09.27={holder=1019916899} #Misheneanonquet[1009990136]
910.02.09={holder=1019916903} #Nuwagon[1009990136]
978.10.23={holder=1019916907} #Pashkeekou[1009990136]
994.12.22={holder=1019916910} #Neebeenaquin[1009990136]
995.08.19={holder=1019916915} #Ogeebouinse[1009990136]
1046.05.21={holder=1019916916} #Okumanpinase[1009990136]
]
