745.1.1={holder=1019920745} #Nahtan[1009990176]
803.12.26={holder=1019920746} #Moketaveto[1009990176]
822.03.02={holder=1019920747} #Mahvipah[1009990176]
861.09.14={holder=1019920748} #Sitahle[1009990176]
879.02.18={holder=1019920749} #Ohtoahnesotowheo[1009990176]
923.11.04={holder=1019920750} #Mahvipah[1009990176]
937.03.21={holder=1019920751} #Munamenek[1009990176]
981.06.26={holder=1019920752} #Kootzzah[1009990176]
1018.01.20={holder=1019920753} #Otoahnisto[1009990176]
1020.01.29={holder=1019920754} #Sitahle[1009990176]
1047.09.06={holder=1019920755} #Ohtoahnesotowheo[1009990176]
1077.09.07={holder=1019920756} #Konzhontaco[1009990176]
