744.1.1={holder=1019930125} #Aiyotechapun[1009990269]
788.07.14={holder=1019930126} #Muhton[1009990269]
792.08.09={holder=1019930127} #Coyuch[1009990269]
830.03.12={holder=1019930128} #Nancen[1009990269]
880.11.12={holder=1019930129} #Apac[1009990269]
895.09.20={holder=1019930130} #Urtyantemu[1009990269]
902.08.02={holder=1019930131} #Troynuremo[1009990269]
955.09.29={holder=1019930132} #Cápac[1009990269]
1000.09.05={holder=1019930133} #Gusmango[1009990269]
1020.01.26={holder=1019930134} #Chumu[1009990269]
1021.12.19={holder=1019930135} #Cur[1009990269]
1058.04.02={holder=1019930136} #Opolcynamun[1009990269]
1097.09.15={holder=1019930137} #Draytonamu[1009990269]
