745.1.1={holder=1019911589} #Chulyin[1009990083]
782.01.04={holder=1019911590} #Cikuq[1009990083]
830.01.05={holder=1019911594} #Tlate[1009990083]
839.03.19={holder=1019911597} #Ningakpok[1009990083]
862.07.10={holder=1019911601} #Karpok[1009990083]
870.12.28={holder=1019911606} #Torngasak[1009990083]
890.02.08={holder=1019911610} #Kanosak[1009990083]
935.01.17={holder=1019911612} #Aumanil[1009990083]
973.05.30={holder=1019911614} #Tipvigut[1009990083]
982.02.23={holder=1019911617} #Nutaaq[1009990083]
996.10.21={holder=1019911622} #Corazon[1009990083]
1037.12.03={holder=1019911627} #Ikniqpalagaq[1009990083]
1054.07.17={holder=1019911633} #Tomkin[1009990083]
