744.1.1={holder=1019913882} #Uitshitshimushish[1009990106]
770.04.22={holder=1019913884} #Aissimess[1009990106]
800.11.08={holder=1019913890} #Pikutushan[1009990106]
822.03.21={holder=1019913892} #Tshishkuetutsheunnu[1009990106]
844.03.08={holder=1019913896} #Mishta-Etuat[1009990106]
883.10.01={holder=1019913898} #Tshim[1009990106]
910.06.24={holder=1019913902} #Maniteu[1009990106]
931.07.25={holder=1019913906} #Atshen[1009990106]
962.01.24={holder=1019913907} #Kautatikumit[1009990106]
993.05.03={holder=1019913911} #Pien[1009990106]
1009.07.08={holder=1019913915} #Utanukueu[1009990106]
1026.11.09={holder=1019913920} #Maikan[1009990106]
]
