745.1.1={holder=1019912577} #Mishen[1009990093]
767.05.12={holder=1019912578} #Kapapisht[1009990093]
818.12.30={holder=1019912584} #Pitan[1009990093]
826.10.31={holder=1019912585} #Shushepiss[1009990093]
847.03.10={holder=1019912593} #Tshakashue[1009990093]
876.12.05={holder=1019912595} #Minutshinishkuess[1009990093]
917.11.07={holder=1019912603} #Shimiu[1009990093]
947.05.08={holder=1019912606} #Ussinitshishu[1009990093]
970.09.20={holder=1019912610} #Mishta-Napesh[1009990093]
977.02.04={holder=1019912614} #Atamakaniss[1009990093]
1003.07.05={holder=1019912621} #Kaniuekutat[1009990093]
1047.05.31={holder=1019912624} #Ussinitshishu[1009990093]
1052.02.20={holder=1019912629} #Tshishennish[1009990093]
