744.1.1={holder=1019918830} #Couchestawasta[1009990155]
771.07.12={holder=1019918832} #Mekewatanega[1009990155]
807.03.15={holder=1019918835} #Hurate[1009990155]
844.12.17={holder=1019918839} #Caygaywachepeche[1009990155]
896.01.16={holder=1019918842} #Nichumali[1009990155]
911.11.02={holder=1019918846} #Teshuhimga[1009990155]
935.06.30={holder=1019918849} #Harachabe[1009990155]
957.12.31={holder=1019918853} #Nangawahaegea[1009990155]
991.11.09={holder=1019918859} #Wanougpacha[1009990155]
1017.03.18={holder=1019918861} #Pahelagren[1009990155]
1045.08.26={holder=1019918868} #Hurate[1009990155]
