744.1.1={holder=1019920733} #Delshay[1009990175]
774.03.15={holder=1019920734} #Juh[1009990175]
811.07.17={holder=1019920735} #Kootzzah[1009990175]
889.09.09={holder=1019920736} #Munamenek[1009990175]
911.05.05={holder=1019920737} #Munamenek[1009990175]
947.08.18={holder=1019920738} #Konzhontaco[1009990175]
964.02.07={holder=1019920739} #Harkkahome[1009990175]
1006.10.29={holder=1019920740} #Juh[1009990175]
1023.08.29={holder=1019920741} #Mahvipah[1009990175]
1048.11.07={holder=1019920742} #Oahtekah[1009990175]
1052.03.13={holder=1019920743} #Bazheech[1009990175]
1077.07.15={holder=1019920744} #Ahzaah[1009990175]
