745.1.1={holder=1019928914} #Zopahua[1009990257]
772.07.19={holder=1019928915} #Ninan[1009990257]
828.11.08={holder=1019928919} #Atahualpa[1009990257]
835.11.26={holder=1019928925} #Viracocha[1009990257]
885.03.22={holder=1019928930} #Sayri[1009990257]
906.03.10={holder=1019928938} #Huaypalcon[1009990257]
962.03.03={holder=1019928940} #Luyes[1009990257]
966.08.23={holder=1019928943} #Pumi[1009990257]
995.09.09={holder=1019928950} #Túpac[1009990257]
1028.01.25={holder=1019928953} #Tucuycuyche[1009990257]
1034.01.10={holder=1019928958} #Ninan[1009990257]
]
