745.1.1={holder=1019928817} #Sahuaraura[1009990256]
780.05.16={holder=1019928818} #Túpac[1009990256]
814.04.09={holder=1019928825} #Yupanqui[1009990256]
823.05.27={holder=1019928829} #Huayna[1009990256]
882.03.11={holder=1019928832} #Villac[1009990256]
916.03.12={holder=1019928839} #Amaru[1009990256]
946.03.08={holder=1019928843} #Yupanqui[1009990256]
967.02.22={holder=1019928849} #Atoc[1009990256]
976.07.05={holder=1019928853} #Coyllas[1009990256]
1030.05.30={holder=1019928858} #Topa[1009990256]
1054.02.28={holder=1019928859} #Villac[1009990256]
]
